DOS,lesion_length,lumen_axial_skewness,lipid_length_ratio,alpha,PI,d_fc_ca,fraction,ca_axial_skewness,ca_shoulder_skewness,ca_strength_ratio,fc_av_th,SBP,PP,tau,DBP,E_vessel,E_fc,E_lipid,E_cal
0.7409,1.2562,0.0622,0.512,172.2,0.976,0.0101,0.1257,0.0592,0.4486,0.3824,0.01,153.82,51.34,0.08146,102.48,13188294,16273589,630902,33269232932
0.2735,2.0102,0.3397,0.5301,257.8,1.175,0.0083,0.1555,0.4358,0.3784,0.122,0.01,164.89,74.37,0.10111,90.52,6835177,19341473,523703,138056645657
0.6057,2.3108,-0.3706,0.7131,210.0,1.198,0.0181,0.2872,0.6551,0.4469,4.546,0.01,111.23,53.23,0.36483,58.0,7210344,14190471,973540,172539218659
0.2776,1.2737,-0.4835,0.593,258.9,0.973,0.0156,0.116,0.6557,0.3389,0.5448,0.01,168.53,52.51,0.38186,116.02,9734599,16731596,490912,225690908749
0.3523,1.5447,-0.0203,0.6646,141.5,1.155,0.0155,0.443,0.5169,0.7798,0.1475,0.01,154.97,44.96,0.16495,110.01,8701787,6614952,829889,198044594892
0.6823,2.2285,0.0076,0.5427,196.1,1.101,0.016,0.4568,0.5447,0.1635,1.2928,0.01,169.83,77.28,0.12925,92.55,3296877,11942895,191872,228247841118
0.2924,1.8301,-0.1217,0.5123,161.9,1.131,0.0129,0.7921,0.5969,0.753,1.5496,0.01,154.86,47.54,0.42044,107.32,11149672,17947215,108837,175631086719
0.6842,1.2687,0.0601,0.6162,241.7,0.935,0.0065,0.513,0.3461,0.6742,1.414,0.01,101.26,56.2,0.02152,45.06,12551344,15628145,193257,21398088251
0.6501,2.6063,-0.0289,0.5908,223.8,1.079,0.0186,0.657,0.394,0.0001,0.7376,0.01,131.09,72.82,0.0141,58.27,9776420,14984025,313416,50177229240
0.6167,1.3904,-0.1904,0.6081,225.3,1.111,0.0083,0.3668,0.2713,0.3443,1.2738,0.01,144.53,79.05,0.03714,65.48,9062964,20840428,724410,211340044600
0.7372,1.3799,-0.1572,0.6557,194.2,1.092,0.0125,0.4344,0.0821,0.1881,2.0609,0.01,163.34,63.98,0.03901,99.36,4734292,14863013,550603,216650444150
0.6579,2.0549,0.3829,0.7297,146.1,0.913,0.0062,0.1733,0.2877,0.3247,0.9676,0.01,134.98,46.81,0.2427,88.17,9266404,5295209,940448,66734437801
0.5862,1.0819,-0.4173,0.7286,220.5,1.014,0.0054,0.2547,0.7825,0.6666,0.7457,0.01,134.2,55.36,0.38742,78.84,6374208,5788383,365216,202053591347
0.3905,1.4765,0.1462,0.5915,183.2,1.167,0.0095,0.1801,0.4545,0.5152,0.4571,0.01,148.57,64.42,0.40539,84.15,6865894,18136535,500544,14012032907
0.3002,1.3082,-0.3698,0.7047,223.0,0.97,0.0167,0.3405,0.5135,0.3706,0.3784,0.01,127.14,46.52,0.28011,80.62,5952819,15205637,583079,207310328942
0.5976,1.9121,-0.0908,0.7711,162.8,0.933,0.0148,0.3793,0.5232,0.2543,0.2726,0.01,144.16,66.14,0.2298,78.02,12581416,18677380,26143,53028788664
0.733,2.4496,-0.3982,0.7588,184.1,1.006,0.0059,0.6784,0.7101,0.0814,5.4698,0.01,133.69,58.06,0.12742,75.63,9941403,6302722,54832,79963426887
0.3204,2.3494,-0.0874,0.7065,120.3,0.931,0.0114,0.7407,0.0945,0.5818,1.0187,0.01,109.25,44.03,0.23371,65.22,1674296,5080649,153622,53316388499
0.7007,2.2562,0.2712,0.6629,145.5,1.027,0.0128,0.7038,0.6366,0.6675,1.0413,0.01,165.44,40.22,0.14481,125.22,12527088,19874717,901334,121949783549
0.4458,2.8816,0.4903,0.62,244.0,1.138,0.0112,0.5468,0.1003,0.2383,0.2217,0.01,132.5,47.84,0.45243,84.66,10369276,22013429,389145,142702086876
0.4002,1.2089,0.0694,0.709,222.6,1.027,0.0122,0.1309,0.0296,0.1226,1.7179,0.01,146.22,52.27,0.19379,93.95,7530758,19919988,713751,23908155220
0.6459,1.8064,0.2404,0.6504,147.2,1.11,0.0111,0.6043,0.7083,0.515,0.2366,0.01,119.28,69.93,0.18236,49.35,9268439,5318675,356566,210681540298
0.4997,2.3756,-0.3841,0.5973,258.7,1.083,0.0139,0.6838,0.1908,0.3028,1.1322,0.01,114.93,57.33,0.0483,57.6,11367924,8146089,509932,65536478009
0.5778,2.9001,-0.4877,0.6301,159.6,1.176,0.0195,0.3023,0.7983,0.4267,1.08,0.01,141.74,53.72,0.39827,88.02,6267217,10881860,402800,193252022989
0.7375,2.0316,0.0899,0.7828,123.4,1.18,0.01,0.6522,0.5621,0.7931,0.3504,0.01,116.96,37.74,0.44116,79.22,9975122,4458513,773683,19049745109
0.6597,2.5066,-0.1503,0.5092,213.2,1.025,0.0149,0.232,0.5704,0.6566,1.2781,0.01,150.15,43.21,0.03198,106.94,10654136,15182908,307345,79446199776
0.6525,1.8891,-0.2483,0.61,244.5,1.04,0.0075,0.3452,0.6929,0.432,1.0144,0.01,133.34,40.85,0.29805,92.49,1605099,20582291,700786,37436718530
0.4153,1.2497,0.0834,0.7217,162.4,1.157,0.0173,0.3849,0.6995,0.1468,0.6339,0.01,110.91,56.72,0.2132,54.19,1964385,11294000,929644,224583552620
0.377,2.2846,-0.0866,0.522,160.6,1.05,0.009,0.6498,0.0504,0.7732,1.8209,0.01,120.7,59.9,0.16064,60.8,13478100,16923331,935343,81323039120
0.7366,2.7474,0.3637,0.6952,138.2,0.914,0.0104,0.1827,0.5297,0.0608,0.3576,0.01,165.18,76.11,0.38121,89.07,7332027,15301855,390868,16925671945
0.5254,1.4849,0.1015,0.7752,269.3,1.193,0.0106,0.6762,0.785,0.6147,0.3858,0.01,104.07,47.38,0.41008,56.69,2519499,16349598,778185,86904562123
0.6285,2.3416,0.0451,0.7858,236.8,1.074,0.0072,0.1057,0.2213,0.5815,0.9699,0.01,134.69,78.37,0.08542,56.32,13375306,11664768,187526,89038347799
0.695,1.5661,0.3432,0.7326,267.2,1.018,0.0155,0.6823,0.4448,0.4697,0.1345,0.01,108.6,46.73,0.43251,61.87,3361866,6707414,828854,90385175015
0.3447,2.2916,0.4578,0.7903,158.6,0.987,0.0191,0.4379,0.2999,0.0695,0.3849,0.01,133.59,69.71,0.22554,63.88,1376435,8879552,288946,181899398819
0.6905,2.8984,-0.2041,0.614,158.4,0.952,0.0181,0.4592,0.3982,0.2784,1.7966,0.01,110.06,62.78,0.4874,47.28,11769574,7013091,951441,17601211764
0.546,2.9374,-0.4968,0.5424,151.6,1.1,0.012,0.683,0.4589,0.6758,0.73,0.01,165.83,53.44,0.34655,112.39,5257191,20338068,422995,229575373266
0.6417,2.8599,0.2896,0.5442,169.9,1.195,0.0076,0.6359,0.4792,0.6532,0.1404,0.01,131.5,67.12,0.05339,64.38,13415977,8311117,427935,58296655286
0.2605,1.9178,-0.4527,0.5432,124.8,1.104,0.0134,0.4975,0.5468,0.5683,1.2482,0.01,129.51,54.93,0.41808,74.58,1195266,17930762,672528,158718876564
0.4994,1.9529,-0.3893,0.6655,220.2,1.184,0.0094,0.6285,0.4188,0.7619,3.5974,0.01,103.26,50.27,0.21115,52.99,10908873,8519444,894529,102860043843
0.6264,1.5215,0.2925,0.6882,250.8,1.006,0.0133,0.5161,0.4685,0.3513,1.3655,0.01,114.51,39.92,0.10616,74.59,6643852,9482207,820429,215824586125
0.6157,2.3564,0.3715,0.674,168.8,1.015,0.0083,0.2058,0.2769,0.4248,2.4427,0.01,147.82,78.99,0.28108,68.83,3232536,10001344,950027,51610695883
0.5872,1.7599,0.1991,0.6831,146.8,1.075,0.0081,0.7886,0.1834,0.2509,0.2107,0.01,145.93,51.23,0.31356,94.7,1763977,11346017,806587,202535418578
0.6934,1.4387,-0.4399,0.7997,189.5,1.132,0.0177,0.4486,0.6537,0.4555,3.7885,0.01,135.87,79.99,0.28325,55.88,2867067,19794971,817546,98380427524
0.7391,1.6495,-0.4697,0.6374,130.7,1.133,0.0152,0.1925,0.2328,0.0509,1.2026,0.01,102.15,47.35,0.34516,54.8,6500087,8721863,975915,194465889346
0.5961,2.3399,-0.3888,0.7909,131.5,1.17,0.0141,0.6856,0.0457,0.7293,1.4204,0.01,120.61,78.04,0.46239,42.57,2067969,8984601,185424,238449548487
0.5171,2.6304,0.4759,0.6479,147.9,1.07,0.0092,0.6421,0.2839,0.5746,3.2433,0.01,103.16,56.19,0.31932,46.97,2629772,14767525,528032,225164815684
0.6027,2.2664,0.0861,0.7819,221.5,1.005,0.0089,0.1141,0.7421,0.0971,0.223,0.01,162.51,52.09,0.14096,110.42,10805968,14965646,544469,91657705723
0.7479,2.3708,0.0294,0.5389,253.7,0.984,0.0061,0.3915,0.435,0.1218,4.0327,0.01,155.46,69.85,0.47355,85.61,12126764,22625211,605896,14062566623
0.7072,1.1842,0.1174,0.7221,196.6,1.13,0.0074,0.2652,0.415,0.7423,0.5163,0.01,138.35,71.79,0.13064,66.56,13140214,13861781,649737,150468735273
0.7068,1.4539,-0.4931,0.5666,195.6,0.928,0.0187,0.3562,0.2145,0.1798,1.8772,0.01,117.43,49.85,0.43548,67.58,6072826,11603893,610983,174851427845
0.6826,2.9812,-0.4734,0.5843,151.4,1.187,0.0167,0.1758,0.6987,0.25,2.4194,0.01,164.41,37.38,0.41512,127.03,3449329,20072194,810300,136234376213
0.2986,2.7148,0.1613,0.6816,260.0,0.924,0.0196,0.666,0.481,0.2603,0.983,0.01,137.26,71.36,0.15435,65.9,11847656,10905124,279809,11733000479
0.6195,1.4635,-0.3369,0.6141,145.2,1.071,0.0062,0.2369,0.0158,0.022,3.2694,0.01,162.77,62.1,0.04121,100.67,12742069,14947814,384723,8069298794
0.3325,2.9957,0.4883,0.7748,198.5,1.194,0.0179,0.2603,0.7124,0.3479,0.9553,0.01,128.55,64.25,0.29354,64.3,2664894,4225725,662294,142329686710
0.4614,2.4163,0.1351,0.6209,201.0,0.986,0.0149,0.4769,0.0925,0.0387,0.2634,0.01,125.03,65.82,0.36203,59.21,5710448,18014046,537893,211685890767
0.5547,2.0417,0.0226,0.557,221.7,1.0,0.0148,0.6449,0.0675,0.4855,2.0753,0.01,149.08,51.63,0.08392,97.45,5740663,12627931,895295,199633260009
0.6615,2.3149,0.2834,0.7099,247.2,0.944,0.0081,0.3829,0.4295,0.6975,1.7468,0.01,141.84,50.03,0.20147,91.81,11356266,15432026,775114,212299088640
0.2584,1.8776,0.3,0.6215,242.9,0.966,0.0128,0.1049,0.4904,0.4624,2.3528,0.01,157.5,65.03,0.48074,92.47,12011830,12123680,508581,110097686373
0.3852,2.1969,-0.3221,0.7807,185.5,0.949,0.0174,0.3652,0.4955,0.5944,0.9894,0.01,153.6,58.87,0.31586,94.73,4164811,6794213,258708,103111513196
0.3304,2.1736,-0.1987,0.6699,259.8,1.158,0.0091,0.6363,0.1105,0.7768,4.6587,0.01,103.94,54.31,0.29131,49.63,3400107,6147254,52849,179784859698
0.5022,2.4816,-0.061,0.6307,241.2,1.04,0.0111,0.5178,0.6262,0.5115,0.8026,0.01,125.43,49.58,0.31061,75.85,6965460,9740840,819189,89833373032
0.3822,2.5204,0.3208,0.6998,175.2,1.1,0.0195,0.6886,0.0805,0.4767,1.0908,0.01,118.82,38.36,0.18294,80.46,9845353,12707964,862378,42367600735
0.5919,1.9892,-0.0725,0.5047,180.8,1.019,0.0073,0.2091,0.0958,0.5072,0.8104,0.01,142.67,50.16,0.44654,92.51,12429270,17351388,786696,76390517667
0.6675,2.9872,-0.4353,0.502,203.5,0.943,0.0169,0.6735,0.1208,0.0249,2.3101,0.01,132.67,47.45,0.1527,85.22,8354075,18498550,520067,155203127016
0.7024,1.1021,-0.172,0.6725,192.2,1.112,0.0082,0.523,0.0552,0.4181,0.4577,0.01,141.48,68.81,0.18482,72.67,10763039,10405295,845279,132427634131
0.3231,2.5475,-0.277,0.6897,166.0,0.94,0.0166,0.7022,0.2588,0.1367,0.1252,0.01,168.83,64.83,0.32309,104.0,13556617,9377017,748871,182288019621
0.4975,1.368,-0.3499,0.5377,134.8,0.908,0.0168,0.2549,0.0473,0.2442,1.0025,0.01,152.5,49.35,0.23118,103.15,11346824,9435956,697031,150797478782
0.5852,1.9933,0.1143,0.5947,204.3,1.155,0.0112,0.7643,0.0736,0.3202,0.3875,0.01,119.46,74.83,0.06017,44.63,4729141,11205241,160284,125605714911
0.5213,2.9711,0.3911,0.7462,196.9,1.135,0.0182,0.5076,0.5543,0.0936,0.2991,0.01,158.25,77.5,0.06115,80.75,13536469,19693313,765365,100542447126
0.4229,2.295,-0.2228,0.6777,130.1,0.998,0.0163,0.6017,0.7298,0.7225,0.9241,0.01,154.05,71.56,0.27498,82.49,4567123,7651772,540404,182968593651
0.2844,1.0605,0.2348,0.585,203.8,1.028,0.0153,0.2995,0.1818,0.7515,1.2415,0.01,164.31,35.72,0.20347,128.59,3326256,14510782,20961,156986377659
0.5338,1.7838,0.1935,0.6241,262.5,1.185,0.016,0.6962,0.2789,0.5689,7.4232,0.01,141.31,57.61,0.22505,83.7,8361924,6910078,308940,17156966947
0.646,1.162,-0.1537,0.6589,237.7,1.072,0.0173,0.2099,0.4609,0.5699,0.1808,0.01,113.51,40.17,0.39464,73.34,6172376,11077414,569602,67839907122
0.2657,1.0269,0.1131,0.5683,166.8,1.197,0.013,0.4365,0.015,0.2085,0.5122,0.01,157.55,45.51,0.33212,112.04,4758935,15131051,837903,110957090918
0.3216,1.5597,-0.3714,0.7022,201.7,1.053,0.0117,0.277,0.2693,0.1762,1.7653,0.01,106.74,55.75,0.05703,50.99,12631480,7596512,533730,114986394904
0.4031,2.7534,-0.4408,0.7961,192.9,1.013,0.0101,0.247,0.5931,0.1193,0.4712,0.01,108.36,62.47,0.05587,45.89,9202291,20100290,512878,245168152592
0.7014,2.3547,-0.4812,0.7544,253.6,1.059,0.0192,0.2341,0.1863,0.7627,1.673,0.01,159.08,39.75,0.41057,119.33,8010775,6903711,743499,107314401425
0.7189,1.4154,-0.437,0.5336,262.0,1.076,0.0166,0.41,0.1705,0.2004,0.4429,0.01,168.45,66.82,0.07645,101.63,7435260,15467287,511154,82904352773
0.6665,2.8826,0.3747,0.7056,125.5,1.024,0.0134,0.1666,0.1299,0.7788,2.6603,0.01,169.57,77.4,0.42703,92.17,13836559,5992243,473373,247982773740
0.3633,1.1598,-0.3273,0.6507,125.3,1.041,0.0191,0.2653,0.1932,0.4746,1.0366,0.01,119.5,46.05,0.44378,73.45,4593486,10180704,104397,109074435558
0.4423,2.2805,0.3478,0.615,195.1,1.02,0.0168,0.5956,0.2333,0.6218,1.3859,0.01,168.26,62.23,0.22423,106.03,8746070,21147341,553110,151955776999
0.3389,1.7549,0.072,0.5041,229.1,1.057,0.009,0.1745,0.3754,0.7133,0.5896,0.01,102.17,40.34,0.38009,61.83,8044450,7930452,629465,230485956781
0.5667,2.8956,0.0408,0.6064,160.7,1.126,0.0164,0.5617,0.0304,0.3754,5.3764,0.01,132.79,57.26,0.21943,75.53,10900437,22133391,484572,97781929952
0.6584,1.6576,-0.1474,0.5045,165.7,1.199,0.0182,0.538,0.3891,0.1683,0.4961,0.01,167.31,64.74,0.21033,102.57,4283686,18948865,100498,124534959059
0.2832,1.3147,-0.3141,0.7848,195.8,0.918,0.0126,0.5211,0.0388,0.1177,1.3966,0.01,152.35,36.81,0.47115,115.54,8539531,12257050,837171,207177180933
0.6647,2.5197,-0.1631,0.5303,199.1,1.026,0.0068,0.67,0.6104,0.6262,1.2165,0.01,141.27,35.89,0.36474,105.38,3371558,17384250,173645,244010548519
0.5772,2.691,0.2022,0.7797,155.3,1.187,0.0172,0.6637,0.1103,0.6704,1.2119,0.01,130.65,67.93,0.17009,62.72,5307518,10130992,211180,236744557915
0.7382,2.1885,-0.0243,0.6991,261.4,1.023,0.0102,0.5962,0.5676,0.1258,1.8298,0.01,165.1,79.87,0.31523,85.23,4712392,15673106,543253,98972404364
0.3554,1.0377,-0.2751,0.7437,121.5,0.963,0.017,0.2599,0.6192,0.4199,0.9303,0.01,162.94,35.78,0.44044,127.16,10285423,17188158,251638,132751617199
0.7177,1.9306,0.4912,0.7168,142.4,0.985,0.0138,0.7959,0.253,0.5058,1.636,0.01,134.75,55.53,0.33031,79.22,4880236,15156802,729419,211402516086
0.3661,2.8013,0.422,0.6022,225.0,1.199,0.0075,0.3484,0.7258,0.2129,0.9487,0.01,122.46,61.51,0.03346,60.95,7363576,16480799,78239,30852395650
0.4566,2.47,-0.3876,0.6692,154.6,1.142,0.007,0.5068,0.6369,0.5174,1.3395,0.01,116.79,53.12,0.17148,63.67,9254278,12031668,251229,239751962350
0.6865,1.7171,-0.2886,0.7982,251.0,1.163,0.0136,0.4695,0.4617,0.2927,0.9205,0.01,126.86,60.76,0.24459,66.1,8782919,18805889,370345,249798996858
0.4855,2.0435,0.2197,0.6404,187.2,1.081,0.0051,0.6897,0.6951,0.0564,0.7919,0.01,129.14,42.18,0.04308,86.96,6006865,17767927,967178,234058995781
0.5955,2.641,-0.4569,0.5415,144.9,0.974,0.008,0.5197,0.6908,0.3375,1.9281,0.01,166.42,42.65,0.10776,123.77,12152444,12011067,641661,141137102133
0.7036,1.388,-0.1152,0.7773,229.3,1.035,0.0069,0.71,0.6208,0.755,0.7588,0.01,165.99,76.4,0.40047,89.59,6566963,22918092,682519,55185586253
0.5882,1.9725,-0.4146,0.6327,234.4,0.925,0.0194,0.425,0.2568,0.2682,1.1375,0.01,128.32,40.83,0.46316,87.49,4127958,13886823,594089,145216198989
0.4788,1.6458,-0.1896,0.5699,266.1,0.938,0.0121,0.5968,0.4769,0.1457,0.934,0.01,152.77,73.79,0.09411,78.98,13668174,21685889,578096,43489778057
0.6608,1.9327,0.4828,0.5762,191.8,0.912,0.0138,0.4275,0.4878,0.0149,0.4047,0.01,107.58,53.95,0.44894,53.63,10932141,19930437,446749,127530351836
0.5983,1.175,0.1063,0.6165,265.9,1.173,0.0071,0.7171,0.2968,0.6082,1.2239,0.01,125.69,71.39,0.47449,54.3,4976159,7734483,20501,67487548024
0.5375,1.325,-0.183,0.7265,165.2,0.905,0.0162,0.1962,0.6412,0.6374,1.267,0.01,127.62,36.35,0.36705,91.27,6619181,16417758,144175,176820386467
0.5879,2.5481,0.4057,0.7616,181.7,0.907,0.0071,0.3989,0.7029,0.6747,0.1643,0.01,141.97,69.65,0.31216,72.32,4299648,17396765,354476,246541416895
0.4448,1.6324,-0.4776,0.7378,138.6,1.189,0.0156,0.1267,0.393,0.6902,1.3935,0.01,147.22,62.81,0.21984,84.41,7990203,20444686,978629,45274130536
0.3163,1.7044,-0.3311,0.5525,146.4,1.139,0.0189,0.3807,0.5177,0.76,1.4316,0.01,137.38,73.59,0.30658,63.79,10930907,14540370,572475,190310065946
0.534,1.4355,-0.1664,0.5026,249.8,0.994,0.0195,0.5775,0.2085,0.7807,2.6879,0.01,156.71,48.08,0.06162,108.63,9636561,13221266,342875,131887879639
0.3787,1.8251,-0.4195,0.5803,138.4,0.961,0.0064,0.3722,0.0258,0.3137,1.0868,0.01,104.54,49.68,0.44725,54.86,11083234,11817749,698705,237644791634
0.5928,2.6437,-0.4281,0.7608,143.8,0.972,0.0144,0.3938,0.4283,0.129,0.961,0.01,114.86,49.18,0.27938,65.68,13512727,4821396,976387,124246335670
0.3135,1.9384,-0.0007,0.7577,187.7,1.003,0.0084,0.3957,0.5797,0.7974,7.7614,0.01,101.73,52.79,0.05512,48.94,5278176,9327845,896198,18581236437
0.3784,2.1118,-0.2765,0.6428,180.6,0.923,0.0108,0.5051,0.5039,0.2181,0.5628,0.01,154.63,52.72,0.09103,101.91,10600515,22571903,914756,178461151741
0.2885,2.2246,-0.4951,0.7592,132.8,1.16,0.0165,0.655,0.0203,0.3684,1.7842,0.01,143.12,44.66,0.1453,98.46,9828075,22114014,155354,119912658081
0.5692,1.3737,0.0435,0.507,204.8,1.171,0.0188,0.637,0.6343,0.7893,1.5258,0.01,147.58,65.71,0.44439,81.87,1140509,20491528,857512,221703085619
0.2959,2.4674,0.1505,0.6599,194.7,0.951,0.0144,0.6321,0.5664,0.3187,1.1703,0.01,138.72,38.7,0.04725,100.02,13697002,9460629,753483,72299440628
0.3729,2.6012,-0.0941,0.6785,245.3,0.911,0.0163,0.4845,0.555,0.2575,0.8684,0.01,139.8,49.75,0.33602,90.05,1302861,6419958,883198,227736253077
0.4701,1.6532,0.328,0.7927,123.9,1.049,0.0183,0.3968,0.4841,0.1508,0.9506,0.01,157.31,53.82,0.05368,103.49,7103792,12744533,832786,213131870885
0.4503,1.4235,-0.1413,0.5591,183.0,1.161,0.0192,0.324,0.4737,0.1951,1.159,0.01,169.94,70.81,0.30166,99.13,13649478,6778142,319012,41964272711
0.6408,1.8865,-0.0228,0.7351,159.0,1.004,0.0101,0.3413,0.0031,0.2759,3.4522,0.01,130.86,78.59,0.04988,52.27,8933479,20920638,304472,31384053114
